rank,name,file_path,function_name,description,cli_accessible,api_accessible,business_value,usage_frequency,complexity_score,priority_score,recommended_interface,command_suggestion,endpoint_suggestion,test_template
1,AgentConfig,ai/interface/deploy_agents.py,,Class AgentConfig,False,False,9,8,4,78,both,AgentConfig,POST /api/v1/AgentConfig,
2,main,ai/interface/deploy_agents.py,main,CLI interface for agent deployment.,,False,9,8,4,78,cli,main,POST /api/v1/main,
3,create_default_config,ai/interface/deploy_agents.py,create_default_config,Create default swarm configuration matching current hardcoded setup.,,False,9,8,4,78,both,create default config,POST /api/v1/default-config,
4,save_config,ai/interface/deploy_agents.py,save_config,Save swarm configuration to YAML file.,,False,9,8,4,78,both,save config,POST /api/v1/save-config,
5,load_config,ai/interface/deploy_agents.py,load_config,Load swarm configuration from YAML file.,,False,9,8,4,78,both,load config,POST /api/v1/load-config,
6,deploy_swarm,ai/interface/deploy_agents.py,deploy_swarm,Deploy agents according to configuration.,,False,9,8,4,78,both,deploy swarm,POST /api/v1/deploy-swarm,
7,SmartWriteMemory,ai/tools/enhanced_memory_tools.py,,Store knowledge with automatic classification and importance scoring.,False,False,9,8,4,78,both,SmartWriteMemory,POST /api/v1/SmartWriteMemory,
8,SemanticSearchMemory,ai/tools/enhanced_memory_tools.py,,Search memories by keywords with intelligent ranking.,False,False,9,8,4,78,both,SemanticSearchMemory,POST /api/v1/SemanticSearchMemory,
9,GetMemoryByType,ai/tools/enhanced_memory_tools.py,,Retrieve memories by classification type.,False,False,9,8,4,78,both,GetMemoryByType,POST /api/v1/GetMemoryByType,
10,GetRelatedMemories,ai/tools/enhanced_memory_tools.py,,Find memories related to a specific memory.,False,False,9,8,4,78,both,GetRelatedMemories,POST /api/v1/GetRelatedMemories,
11,AnalyzeMemoryUsage,ai/tools/enhanced_memory_tools.py,,Get analytics and insights about memory usage patterns.,False,False,9,8,4,78,both,AnalyzeMemoryUsage,POST /api/v1/AnalyzeMemoryUsage,
12,OptimizeMemoryStore,ai/tools/enhanced_memory_tools.py,,Optimize memory store by removing low-importance old items.,False,False,9,8,4,78,both,OptimizeMemoryStore,POST /api/v1/OptimizeMemoryStore,
13,BaseTool,ai/tools/enhanced_memory_tools.py,,Class BaseTool,False,False,9,8,4,78,both,BaseTool,POST /api/v1/BaseTool,
14,WriteMemory,ai/tools/memory_tools.py,,"Store knowledge, context, and state for cross-agent sharing.",False,False,9,8,4,78,both,WriteMemory,POST /api/v1/WriteMemory,
15,ReadMemoryContext,ai/tools/memory_tools.py,,Retrieve relevant stored context for current task.,False,False,9,8,4,78,both,ReadMemoryContext,POST /api/v1/ReadMemoryContext,
16,BaseTool,ai/tools/memory_tools.py,,Class BaseTool,False,False,9,8,4,78,both,BaseTool,POST /api/v1/BaseTool,
17,BackupMemoryStore,ai/tools/production_memory_tools.py,,Backup all memories to a JSON file for data protection.,False,False,9,8,4,78,both,BackupMemoryStore,POST /api/v1/BackupMemoryStore,
18,RestoreMemoryStore,ai/tools/production_memory_tools.py,,Restore memories from a backup file.,False,False,9,8,4,78,both,RestoreMemoryStore,POST /api/v1/RestoreMemoryStore,
19,SyncFirestoreMemory,ai/tools/production_memory_tools.py,,Synchronize local memory with Firestore backend.,False,False,9,8,4,78,both,SyncFirestoreMemory,POST /api/v1/SyncFirestoreMemory,
20,OptimizeFirestoreMemory,ai/tools/production_memory_tools.py,,Optimize Firestore memory by removing low-importance items.,False,False,9,8,4,78,both,OptimizeFirestoreMemory,POST /api/v1/OptimizeFirestoreMemory,
21,PersistentMemorySearch,ai/tools/persistent_memory_tools.py,,Search persistent memory across all sessions and deployments.,False,False,9,8,4,78,both,PersistentMemorySearch,POST /api/v1/PersistentMemorySearch,
22,MemoryConsolidation,ai/tools/persistent_memory_tools.py,,Consolidate and clean up persistent memories.,False,False,9,8,4,78,both,MemoryConsolidation,POST /api/v1/MemoryConsolidation,
23,CrossSessionAnalytics,ai/tools/persistent_memory_tools.py,,Analyze memory patterns across sessions and time.,False,False,9,8,4,78,both,CrossSessionAnalytics,POST /api/v1/CrossSessionAnalytics,
24,MemoryLearningPatterns,ai/tools/persistent_memory_tools.py,,Analyze learning patterns and knowledge evolution.,False,False,9,8,4,78,both,MemoryLearningPatterns,POST /api/v1/MemoryLearningPatterns,
25,MemorySync,ai/tools/persistent_memory_tools.py,,Force synchronization of local memory to persistent storage.,False,False,9,8,4,78,both,MemorySync,POST /api/v1/MemorySync,
26,BaseTool,ai/tools/persistent_memory_tools.py,,Class BaseTool,False,False,9,8,4,78,both,BaseTool,POST /api/v1/BaseTool,
27,RefreshController,ai/monitor/adaptive_ui.py,,Controls adaptive refresh intervals based on activity.,False,False,9,8,4,78,both,RefreshController,POST /api/v1/RefreshController,
28,AdaptiveMonitorUI,ai/monitor/adaptive_ui.py,,Modern terminal UI for agent monitoring with adaptive refresh.,False,False,9,8,4,78,cli,AdaptiveMonitorUI,POST /api/v1/AdaptiveMonitorUI,
29,get_current_interval,ai/monitor/adaptive_ui.py,get_current_interval,Get current recommended refresh interval.,,False,9,8,4,78,both,current interval,GET /api/v1/current-interval,
30,update_display,ai/monitor/adaptive_ui.py,update_display,Update the live display with current status.,,False,9,8,4,78,both,update display,PUT /api/v1/display,
31,start_live_display,ai/monitor/adaptive_ui.py,start_live_display,Start live updating display.,,False,9,8,4,78,both,start live display,POST /api/v1/start-live-display,
32,TokenCounter,ai/monitor/openai_tracker.py,,Token counting utilities for OpenAI models.,False,False,9,8,4,78,both,TokenCounter,POST /api/v1/TokenCounter,
33,OpenAIUsageTracker,ai/monitor/openai_tracker.py,,Tracks OpenAI API usage and costs.,False,False,9,8,4,78,both,OpenAIUsageTracker,POST /api/v1/OpenAIUsageTracker,
34,track_openai_call,ai/monitor/openai_tracker.py,track_openai_call,Decorator to automatically track OpenAI API calls.,,False,9,8,4,78,both,track openai call,POST /api/v1/track-openai-call,
35,TrackedOpenAIClient,ai/monitor/openai_tracker.py,,OpenAI client wrapper with automatic usage tracking.,False,False,9,8,4,78,cli,TrackedOpenAIClient,POST /api/v1/TrackedOpenAIClient,
36,TrackedChatCompletions,ai/monitor/openai_tracker.py,,Chat completions wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedChatCompletions,POST /api/v1/TrackedChatCompletions,
37,TrackedEmbeddings,ai/monitor/openai_tracker.py,,Embeddings wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedEmbeddings,POST /api/v1/TrackedEmbeddings,
38,track_completion_usage,ai/monitor/openai_tracker.py,track_completion_usage,Manually track completion usage.,,False,9,8,4,78,both,track completion usage,POST /api/v1/track-completion-usage,
39,track_embedding_usage,ai/monitor/openai_tracker.py,track_embedding_usage,Manually track embedding usage.,,False,9,8,4,78,both,track embedding usage,POST /api/v1/track-embedding-usage,
40,estimate_tokens,ai/monitor/openai_tracker.py,estimate_tokens,Estimate token count for text.,,False,9,8,4,78,both,estimate tokens,POST /api/v1/estimate-tokens,
41,count_messages_tokens,ai/monitor/openai_tracker.py,count_messages_tokens,Estimate tokens for a list of chat messages.,,False,9,8,4,78,both,count messages tokens,POST /api/v1/count-messages-tokens,
42,track_completion,ai/monitor/openai_tracker.py,track_completion,Track a completion API call.,,False,9,8,4,78,both,track completion,POST /api/v1/track-completion,
43,track_embedding,ai/monitor/openai_tracker.py,track_embedding,Track an embedding API call.,,False,9,8,4,78,both,track embedding,POST /api/v1/track-embedding,
44,create,ai/monitor/openai_tracker.py,create,Create chat completion with tracking.,,False,9,8,4,78,both,create,POST /api/v1/create,
45,create,ai/monitor/openai_tracker.py,create,Create embeddings with tracking.,,False,9,8,4,78,both,create,POST /api/v1/create,
46,wrapper,ai/monitor/openai_tracker.py,wrapper,Function wrapper,,False,9,8,4,78,both,wrapper,POST /api/v1/wrapper,
47,wrapper,ai/monitor/openai_tracker.py,wrapper,Function wrapper,,False,9,8,4,78,both,wrapper,POST /api/v1/wrapper,
48,CostTracker,ai/monitor/cost_tracker.py,,Main cost tracking and monitoring system.,False,False,9,8,4,78,both,CostTracker,POST /api/v1/CostTracker,
49,get_cost_tracker,ai/monitor/cost_tracker.py,get_cost_tracker,Get the global cost tracker instance.,,False,9,8,4,78,both,cost tracker,GET /api/v1/cost-tracker,
50,record_usage,ai/monitor/cost_tracker.py,record_usage,Record a usage event and calculate estimated cost.,,False,9,8,4,78,both,record usage,POST /api/v1/record-usage,
51,get_usage_summary,ai/monitor/cost_tracker.py,get_usage_summary,Get usage summary for specified period.,,False,9,8,4,78,both,usage summary,GET /api/v1/usage-summary,
52,get_monthly_usage,ai/monitor/cost_tracker.py,get_monthly_usage,Get detailed usage for a specific month.,,False,9,8,4,78,both,monthly usage,GET /api/v1/monthly-usage,
53,add_budget_alert,ai/monitor/cost_tracker.py,add_budget_alert,Add a budget alert.,,False,9,8,4,78,both,add budalert,POST /api/v1/budget-alert,
54,get_optimization_suggestions,ai/monitor/cost_tracker.py,get_optimization_suggestions,Get cost optimization suggestions based on usage patterns.,,False,9,8,4,78,both,optimization suggestions,GET /api/v1/optimization-suggestions,
55,export_usage_report,ai/monitor/cost_tracker.py,export_usage_report,Export detailed usage report to JSON file.,,False,9,8,4,78,both,export usage report,POST /api/v1/export-usage-report,
56,AgentMetrics,ai/monitor/activity.py,,Performance metrics for a single agent.,False,False,9,8,4,78,both,AgentMetrics,POST /api/v1/AgentMetrics,
57,ActivityDetection,ai/monitor/activity.py,,Detects agent activity levels for adaptive monitoring.,False,False,9,8,4,78,both,ActivityDetection,POST /api/v1/ActivityDetection,
58,get_activity_detector,ai/monitor/activity.py,get_activity_detector,Get or create the global activity detector.,,False,9,8,4,78,both,activity detector,GET /api/v1/activity-detector,
59,record_memory_operation,ai/monitor/activity.py,record_memory_operation,Hook function for memory operations.,,False,9,8,4,78,both,memory record  operation,POST /api/v1/record-memory-operation,
60,record_agent_activity,ai/monitor/activity.py,record_agent_activity,Hook function for agent lifecycle events.,,False,9,8,4,78,both,agent record  activity,POST /api/v1/record-agent-activity,
61,record_flow_activity,ai/monitor/activity.py,record_flow_activity,Hook function for flow events.,,False,9,8,4,78,both,record flow activity,POST /api/v1/record-flow-activity,
62,record_event,ai/monitor/activity.py,record_event,Record an activity event (and optionally persist).,,False,9,8,4,78,both,record event,POST /api/v1/record-event,
63,compute_activity_level,ai/monitor/activity.py,compute_activity_level,Compute current activity level based on recent events.,,False,9,8,4,78,both,compute activity level,POST /api/v1/compute-activity-level,
64,get_refresh_interval,ai/monitor/activity.py,get_refresh_interval,Get recommended refresh interval in seconds.,,False,9,8,4,78,both,refresh interval,GET /api/v1/refresh-interval,
65,get_recent_events,ai/monitor/activity.py,get_recent_events,"Get recent events for timeline display. If a persistent bus exists, prefer it.",,False,9,8,4,78,both,recent events,GET /api/v1/recent-events,
66,CostDashboard,ai/monitor/cost_dashboard.py,,Interactive cost monitoring dashboard.,False,False,9,8,4,78,both,CostDashboard,POST /api/v1/CostDashboard,
67,run_cost_dashboard,ai/monitor/cost_dashboard.py,run_cost_dashboard,Run the cost monitoring dashboard.,,False,9,8,4,78,both,run cost dashboard,POST /api/v1/run-cost-dashboard,
68,quick_cost_summary,ai/monitor/cost_dashboard.py,quick_cost_summary,Show a quick cost summary without full dashboard.,,False,9,8,4,78,both,quick cost summary,POST /api/v1/quick-cost-summary,
69,create_layout,ai/monitor/cost_dashboard.py,create_layout,Create the dashboard layout.,,False,9,8,4,78,both,create layout,POST /api/v1/layout,
70,create_header,ai/monitor/cost_dashboard.py,create_header,Create dashboard header.,,False,9,8,4,78,both,create header,POST /api/v1/header,
71,create_optimization_panel,ai/monitor/cost_dashboard.py,create_optimization_panel,Create cost optimization recommendations panel.,,False,9,8,4,78,both,create optimization panel,POST /api/v1/optimization-panel,
72,create_controls_panel,ai/monitor/cost_dashboard.py,create_controls_panel,Create controls panel.,,False,9,8,4,78,both,create controls panel,POST /api/v1/controls-panel,
73,create_footer,ai/monitor/cost_dashboard.py,create_footer,Create dashboard footer.,,False,9,8,4,78,both,create footer,POST /api/v1/footer,
74,show_budget_management,ai/monitor/cost_dashboard.py,show_budget_management,Show budget management interface.,,False,9,8,4,78,both,show budmanagement,POST /api/v1/show-budget-management,
75,export_report,ai/monitor/cost_dashboard.py,export_report,Export cost report.,,False,9,8,4,78,both,export report,POST /api/v1/export-report,
76,show_detailed_usage,ai/monitor/cost_dashboard.py,show_detailed_usage,Show detailed usage breakdown.,,False,9,8,4,78,both,show detailed usage,POST /api/v1/show-detailed-usage,
77,PersistentEventBus,ai/monitor/event_bus.py,,Simple JSONL-backed event bus for cross-process monitoring visibility.,False,False,9,8,4,78,both,PersistentEventBus,POST /api/v1/PersistentEventBus,
78,get_bus,ai/monitor/event_bus.py,get_bus,Function get_bus,,False,9,8,4,78,both,bus,GET /api/v1/bus,
79,FirestoreUsageTracker,ai/monitor/firestore_tracker.py,,Tracks Firestore operations and costs.,False,False,9,8,4,78,both,FirestoreUsageTracker,POST /api/v1/FirestoreUsageTracker,
80,TrackedFirestoreClient,ai/monitor/firestore_tracker.py,,Firestore client wrapper with automatic usage tracking.,False,False,9,8,4,78,cli,TrackedFirestoreClient,POST /api/v1/TrackedFirestoreClient,
81,TrackedCollectionReference,ai/monitor/firestore_tracker.py,,Collection reference wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedCollectionReference,POST /api/v1/TrackedCollectionReference,
82,TrackedDocumentReference,ai/monitor/firestore_tracker.py,,Document reference wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedDocumentReference,POST /api/v1/TrackedDocumentReference,
83,TrackedQuery,ai/monitor/firestore_tracker.py,,Query wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedQuery,POST /api/v1/TrackedQuery,
84,TrackedQuerySnapshot,ai/monitor/firestore_tracker.py,,Query snapshot wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedQuerySnapshot,POST /api/v1/TrackedQuerySnapshot,
85,TrackedDocumentSnapshot,ai/monitor/firestore_tracker.py,,Document snapshot wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedDocumentSnapshot,POST /api/v1/TrackedDocumentSnapshot,
86,TrackedWriteBatch,ai/monitor/firestore_tracker.py,,Write batch wrapper with usage tracking.,False,False,9,8,4,78,both,TrackedWriteBatch,POST /api/v1/TrackedWriteBatch,
87,wrap_firestore_client,ai/monitor/firestore_tracker.py,wrap_firestore_client,Wrap an existing Firestore client with cost tracking.,,False,9,8,4,78,cli,wrap firestore client,POST /api/v1/wrap-firestore-client,
88,track_read,ai/monitor/firestore_tracker.py,track_read,Track document read operations.,,False,9,8,4,78,both,track read,POST /api/v1/track-read,
89,track_write,ai/monitor/firestore_tracker.py,track_write,Track document write operations.,,False,9,8,4,78,both,track write,POST /api/v1/track-write,
90,track_delete,ai/monitor/firestore_tracker.py,track_delete,Track document delete operations.,,False,9,8,4,78,both,track delete,POST /api/v1/track-delete,
91,document,ai/monitor/firestore_tracker.py,document,Get a tracked document reference.,,False,9,8,4,78,both,document,POST /api/v1/document,
92,batch,ai/monitor/firestore_tracker.py,batch,Create a tracked batch write context.,,False,9,8,4,78,both,batch,POST /api/v1/batch,
93,get,ai/monitor/firestore_tracker.py,get,Get all documents with tracking.,,False,9,8,4,78,both,get,POST /api/v1/get,
94,stream,ai/monitor/firestore_tracker.py,stream,Stream documents with tracking.,,False,9,8,4,78,both,stream,POST /api/v1/stream,
95,add,ai/monitor/firestore_tracker.py,add,Add document with tracking.,,False,9,8,4,78,both,add,POST /api/v1/add,
96,document,ai/monitor/firestore_tracker.py,document,Get tracked document reference.,,False,9,8,4,78,both,document,POST /api/v1/document,
97,where,ai/monitor/firestore_tracker.py,where,Create tracked query.,,False,9,8,4,78,both,where,POST /api/v1/where,
98,order_by,ai/monitor/firestore_tracker.py,order_by,Create tracked ordered query.,,False,9,8,4,78,both,order by,POST /api/v1/order-by,
99,limit,ai/monitor/firestore_tracker.py,limit,Create tracked limited query.,,False,9,8,4,78,both,limit,POST /api/v1/limit,
100,get,ai/monitor/firestore_tracker.py,get,Get document with tracking.,,False,9,8,4,78,both,get,POST /api/v1/get,
101,set,ai/monitor/firestore_tracker.py,set,Set document with tracking.,,False,9,8,4,78,both,set,POST /api/v1/set,
102,update,ai/monitor/firestore_tracker.py,update,Update document with tracking.,,False,9,8,4,78,both,update,POST /api/v1/update,
103,delete,ai/monitor/firestore_tracker.py,delete,Delete document with tracking.,,False,9,8,4,78,both,delete,POST /api/v1/delete,
104,collection,ai/monitor/firestore_tracker.py,collection,Get subcollection with tracking.,,False,9,8,4,78,both,collection,POST /api/v1/collection,
